,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0150230001,Y,11-27-2007,ORIGINAL,1,15,23,GLS,53.1983340,-70.9004780,501.001,VALIDATION,0150230001_01,Y,11-27-2007,1,15,23,31.000000,31.000000,373050.000,5896020.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,07-30-2000,BYTE
1,0150230002,Y,11-27-2007,ORIGINAL,1,15,23,GLS,52.5340030,-72.2010490,414.000,CONTROL,0150230002_01,Y,11-27-2007,1,15,23,31.000000,31.000000,282900.000,5825250.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,07-30-2000,BYTE
2,0150230003,Y,11-27-2007,ORIGINAL,1,15,23,GLS,52.6948110,-72.1608520,427.343,CONTROL,0150230003_01,Y,11-27-2007,1,15,23,31.000000,31.000000,286410.000,5843010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,07-30-2000,BYTE
3,0150230004,Y,11-27-2007,ORIGINAL,1,15,23,GLS,53.1036640,-70.5256770,530.830,CONTROL,0150230004_01,Y,11-27-2007,1,15,23,31.000000,31.000000,397860.000,5884890.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,07-30-2000,BYTE
4,0150230005,Y,11-27-2007,ORIGINAL,1,15,23,GLS,52.6145240,-70.8046300,532.142,CONTROL,0150230005_01,Y,11-27-2007,1,15,23,31.000000,31.000000,377820.000,5830920.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,07-30-2000,BYTE
5,0150230006,Y,11-27-2007,ORIGINAL,1,15,23,GLS,52.2932520,-70.6771600,996.271,CONTROL,0150230006_01,Y,11-27-2007,1,15,23,31.000000,31.000000,385620.000,5794980.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,07-30-2000,BYTE
6,0150230007,Y,11-27-2007,ORIGINAL,1,15,23,GLS,52.7317410,-73.1112340,442.363,VALIDATION,0150230007_01,Y,11-27-2007,1,15,23,31.000000,31.000000,222450.000,5850360.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,07-30-2000,BYTE
7,0150230008,Y,11-27-2007,ORIGINAL,1,15,23,GLS,52.3801470,-71.3412240,804.597,VALIDATION,0150230008_01,Y,11-27-2007,1,15,23,31.000000,31.000000,340650.000,5805900.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,07-30-2000,BYTE
8,0150230009,Y,11-27-2007,ORIGINAL,1,15,23,GLS,53.5684630,-71.3914240,491.622,VALIDATION,0150230009_01,Y,11-27-2007,1,15,23,31.000000,31.000000,341640.000,5938170.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,07-30-2000,BYTE
9,0150230010,Y,11-27-2007,ORIGINAL,1,15,23,GLS,53.8166500,-72.5716270,381.000,VALIDATION,0150230010_01,Y,11-27-2007,1,15,23,31.000000,31.000000,264900.000,5969040.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,07-30-2000,BYTE
